,make,year,model,mileage,certified,price
267,Toyota,2018,Camry,45385,0,14957
268,Toyota,2013,Prius,116558,0,8964
269,Toyota,2019,Camry,36319,0,16194
270,Toyota,2018,Tundra,28456,0,42900
271,Toyota,2018,Prius,15031,0,18748
272,Toyota,2017,Highlander,27746,0,28339
273,Toyota,2015,Camry,47293,0,14725
274,Toyota,2017,Corolla,38986,0,12999
275,Toyota,2018,RAV4,22184,0,18999
276,Toyota,2017,Yaris,58012,0,9000
277,Toyota,2019,Sienna,33289,0,25841
278,Toyota,2020,Camry,21396,1,28910
279,Toyota,2008,Highlander,165764,0,7840
280,Toyota,2011,Highlander,106859,0,13499
281,Toyota,2018,Tacoma,35480,0,32987
282,Toyota,2011,Sienna,138515,0,9874
283,Toyota,2008,Sequoia,98357,0,23995
284,Toyota,2017,Sienna,34280,0,24991
285,Toyota,2013,Sienna,92940,0,13999
286,Toyota,2020,Corolla,14785,0,18721
287,Toyota,2010,Yaris,70316,0,6995
288,Toyota,2017,Sequoia,63500,0,43980
289,Toyota,2020,Sienna,23071,1,26883
290,Toyota,2019,Yaris,13752,0,14674
291,Toyota,2018,Sienna,39970,0,21998
292,Toyota,2018,Camry,63223,0,14437
293,Toyota,2018,Corolla,39746,0,13788
294,Toyota,2020,Highlander,2079,0,37767
295,Toyota,2016,RAV4,98873,0,12500
296,Toyota,2005,Prius,82900,0,6500
297,Toyota,2018,Camry,30232,1,24920
298,Toyota,2017,Sequoia,22566,0,44990
299,Toyota,2014,Sienna,76402,0,15398
300,Toyota,2018,Camry,23844,0,20487
301,Toyota,2020,RAV4,62,0,35427
302,Toyota,1994,Supra,211345,0,35998
303,Toyota,2014,Camry,108089,0,10995
304,Toyota,2009,Highlander,73950,0,15490
305,Toyota,2020,Corolla,5091,0,17595
306,Toyota,2019,Highlander,39449,0,29915
307,Toyota,2019,Prius,13253,0,20911
308,Toyota,2010,Prius,138200,0,6400
309,Toyota,2015,Camry,37233,0,15937
310,Toyota,2018,RAV4,42389,0,24986
311,Toyota,2020,Highlander,7635,0,35978
312,Toyota,2014,Prius,97023,0,9999
313,Toyota,2020,Sienna,1447,0,34981
314,Toyota,2016,Sienna,72488,0,18781
315,Toyota,2018,Yaris,35180,0,13563
316,Toyota,2017,Camry,30298,0,16839
317,Toyota,2015,Corolla,50270,0,11000
318,Toyota,2012,Prius,137124,0,6995
319,Toyota,2014,Camry,108375,0,11721
320,Toyota,2010,Highlander,88101,0,12947
321,Toyota,2017,Tacoma,17127,0,25888
322,Toyota,2016,Highlander,57519,1,29987
323,Toyota,2017,Sienna,27236,0,28761
324,Toyota,2017,Tundra,110630,0,21888
325,Toyota,2019,Tundra,45229,0,40595
326,Toyota,2012,Highlander,117000,0,11900
327,Toyota,2017,Highlander,46068,1,28750
328,Toyota,2019,Sienna,42031,0,29999
